auc,acc,ap,f1,recall,precision
0.8617507514221129,0.7491349480968859,0.3060197179669977,0.48214285714285715,0.8333333333333334,0.3391959798994975
0.8674174677695804,0.7577854671280276,0.33476826194636417,0.5104895104895105,0.9012345679012346,0.35609756097560974
0.8339853938445487,0.7413494809688581,0.2775722432524948,0.45137614678899085,0.7592592592592593,0.32114882506527415
0.8453812271232707,0.7588591184096802,0.3082271731302962,0.48618784530386744,0.8148148148148148,0.3464566929133858
0.8355170916309945,0.7381158167675022,0.2841364761571556,0.45796064400715564,0.7901234567901234,0.3224181360201511
0.8466134228684994,0.7312013828867762,0.2916881165512498,0.4647160068846816,0.8282208588957055,0.3229665071770335
0.8385034131167373,0.7510803802938635,0.30347764979604236,0.48014440433213007,0.8159509202453987,0.340153452685422
0.8385373972228433,0.7491349480968859,0.307923448246401,0.4839857651245552,0.8395061728395061,0.34
0.8549941625058997,0.7413494809688581,0.297899246306554,0.47266313932980597,0.8271604938271605,0.3308641975308642
0.8462472365054524,0.736159169550173,0.2865426724488375,0.46017699115044247,0.8024691358024691,0.3225806451612903
0.8462006607546514,0.736159169550173,0.2939039500580963,0.46771378708551486,0.8271604938271605,0.3260340632603406
0.8660388255458676,0.7690311418685121,0.3352777752941375,0.5136612021857923,0.8703703703703703,0.3643410852713178
0.851615868047793,0.7465397923875432,0.3020147018406797,0.47771836007130125,0.8271604938271605,0.3358395989974937
