auc,acc,ap,f1,recall,precision
0.8724880145067937,0.8693771626297578,0.21743582076146475,0.24875621890547261,0.15432098765432098,0.6410256410256411
0.85205989020543,0.8633217993079585,0.20898438141806078,0.2616822429906542,0.1728395061728395,0.5384615384615384
0.8691935564001292,0.870242214532872,0.21628433508479644,0.23469387755102042,0.1419753086419753,0.6764705882352942
0.8527585264674467,0.870242214532872,0.22790751234660767,0.27884615384615385,0.17901234567901234,0.6304347826086957
0.8578166530044464,0.8615916955017301,0.19667184862009596,0.23076923076923075,0.14814814814814814,0.5217391304347826
0.864678329921211,0.8703543647363872,0.21618040922953902,0.23469387755102042,0.1419753086419753,0.6764705882352942
0.8439729511756312,0.8651685393258427,0.19323285129698986,0.19587628865979378,0.11728395061728394,0.59375
0.8862284134253373,0.8694900605012964,0.222090661802525,0.2561576354679803,0.15950920245398773,0.65
0.8526558121736555,0.8643042350907519,0.1978845756160156,0.21105527638190955,0.12883435582822086,0.5833333333333334
0.8529541446208113,0.8667820069204152,0.21248432032745757,0.2524271844660194,0.16049382716049382,0.5909090909090909
0.8732021760190773,0.8685121107266436,0.2170003803990732,0.2549019607843137,0.16049382716049382,0.6190476190476191
0.8640826440122215,0.860726643598616,0.18171033119130003,0.182741116751269,0.1111111111111111,0.5142857142857142
0.8508706560349752,0.8711072664359861,0.22464294359719195,0.25870646766169153,0.16049382716049382,0.6666666666666666
0.8552984574111335,0.8589965397923875,0.19415965369444801,0.23474178403755872,0.15432098765432098,0.49019607843137253
0.8516965993491815,0.8624567474048442,0.19177288813967014,0.208955223880597,0.12962962962962962,0.5384615384615384
0.8679756808735033,0.8694900605012964,0.21537008053861986,0.24120603015075376,0.14814814814814814,0.6486486486486487
0.8637942800421862,0.8643042350907519,0.20851780643112905,0.2559241706161138,0.16666666666666666,0.5510204081632653
0.8487242473244374,0.8660328435609335,0.21688557071475661,0.26540284360189575,0.17177914110429449,0.5833333333333334
0.8580347113354976,0.8643042350907519,0.20000703276290743,0.21890547263681592,0.13496932515337423,0.5789473684210527
0.8718359539955784,0.8685121107266436,0.21094866172080062,0.23232323232323232,0.1419753086419753,0.6388888888888888
0.8712739399359117,0.865916955017301,0.20609802983842987,0.23645320197044334,0.14814814814814814,0.5853658536585366
0.8468806667163475,0.8641868512110726,0.17856939435178576,0.14207650273224043,0.08024691358024691,0.6190476190476191
0.8548916958541373,0.870242214532872,0.2239248640632724,0.2647058823529412,0.16666666666666666,0.6428571428571429
0.8701095461658842,0.865916955017301,0.1976596672867338,0.2051282051282051,0.12345679012345678,0.6060606060606061
0.8435023722582409,0.8581314878892734,0.17941229868853859,0.18811881188118812,0.11728395061728394,0.475
